gene_cluster_id;focal;reference
GC_00011541;broadleaf;conifer
GC_00037726;broadleaf;conifer
GC_00026053;broadleaf;conifer
GC_00005727;broadleaf;conifer
GC_00002035;broadleaf;conifer
GC_00011235;broadleaf;conifer
GC_00008301;broadleaf;conifer
GC_00026454;broadleaf;conifer
GC_00046908;broadleaf;conifer
GC_00009993;broadleaf;conifer
GC_00002700;broadleaf;conifer
GC_00021114;broadleaf;conifer
GC_00011289;broadleaf;conifer
GC_00004663;broadleaf;conifer
GC_00016226;broadleaf;conifer
GC_00025939;broadleaf;conifer
GC_00013381;broadleaf;conifer
GC_00004092;broadleaf;conifer
GC_00020840;broadleaf;conifer
GC_00011050;broadleaf;conifer
GC_00003675;broadleaf;conifer
GC_00030370;broadleaf;conifer
GC_00028573;broadleaf;conifer
GC_00004610;broadleaf;conifer
GC_00007486;broadleaf;conifer
GC_00009491;broadleaf;conifer
GC_00018947;broadleaf;conifer
GC_00003374;broadleaf;conifer
GC_00002817;broadleaf;conifer
GC_00004770;broadleaf;conifer
GC_00020906;broadleaf;conifer
GC_00028838;broadleaf;conifer
GC_00008371;broadleaf;conifer
GC_00003003;broadleaf;conifer
GC_00022158;broadleaf;conifer
GC_00007148;broadleaf;conifer
GC_00024213;broadleaf;conifer
GC_00002755;broadleaf;conifer
GC_00028231;broadleaf;conifer
GC_00014142;broadleaf;conifer
GC_00002634;broadleaf;conifer
GC_00003375;broadleaf;conifer
GC_00005259;broadleaf;conifer
GC_00002603;broadleaf;conifer
GC_00004530;broadleaf;conifer
GC_00005114;broadleaf;conifer
GC_00008782;broadleaf;conifer
GC_00004746;broadleaf;conifer
GC_00028376;broadleaf;conifer
GC_00025420;broadleaf;conifer
GC_00010819;broadleaf;conifer
GC_00004758;broadleaf;conifer
GC_00007824;broadleaf;conifer
GC_00003092;broadleaf;conifer
GC_00003184;broadleaf;conifer
GC_00004016;broadleaf;conifer
GC_00002595;broadleaf;conifer
GC_00018001;broadleaf;conifer
GC_00008268;broadleaf;conifer
GC_00003428;broadleaf;conifer
GC_00043258;broadleaf;conifer
GC_00028709;broadleaf;conifer
GC_00002587;broadleaf;conifer
GC_00013408;broadleaf;conifer
GC_00004998;broadleaf;conifer
GC_00003240;broadleaf;conifer
GC_00030595;broadleaf;conifer
GC_00003033;broadleaf;conifer
GC_00013679;broadleaf;conifer
GC_00002496;broadleaf;conifer
GC_00028673;broadleaf;conifer
GC_00000092;broadleaf;conifer
GC_00013443;broadleaf;conifer
GC_00012547;broadleaf;conifer
GC_00005951;broadleaf;conifer
GC_00022063;broadleaf;conifer
GC_00007953;broadleaf;conifer
GC_00012818;broadleaf;conifer
GC_00013627;broadleaf;conifer
GC_00003008;broadleaf;conifer
GC_00008880;broadleaf;conifer
GC_00007091;broadleaf;conifer
GC_00012718;broadleaf;conifer
GC_00004464;broadleaf;conifer
GC_00002572;broadleaf;conifer
GC_00041957;broadleaf;conifer
GC_00004140;broadleaf;conifer
GC_00013658;broadleaf;conifer
GC_00002258;broadleaf;conifer
GC_00002501;broadleaf;conifer
GC_00007854;broadleaf;conifer
GC_00005311;broadleaf;conifer
GC_00009509;broadleaf;conifer
GC_00005055;broadleaf;conifer
GC_00000296;broadleaf;conifer
GC_00013798;broadleaf;conifer
GC_00017237;broadleaf;conifer
GC_00007246;broadleaf;conifer
GC_00002855;broadleaf;conifer
GC_00012887;broadleaf;conifer
GC_00002939;broadleaf;conifer
GC_00002440;broadleaf;conifer
GC_00007180;broadleaf;conifer
GC_00010080;broadleaf;conifer
GC_00004620;broadleaf;conifer
GC_00002671;broadleaf;conifer
GC_00003488;broadleaf;conifer
GC_00000066;broadleaf;conifer
GC_00006901;broadleaf;conifer
GC_00005106;broadleaf;conifer
GC_00002612;broadleaf;conifer
GC_00002668;broadleaf;conifer
GC_00005545;broadleaf;conifer
GC_00005515;broadleaf;conifer
GC_00004836;broadleaf;conifer
GC_00003086;broadleaf;conifer
GC_00000986;broadleaf;conifer
GC_00002969;broadleaf;conifer
GC_00003475;broadleaf;conifer
GC_00000174;broadleaf;conifer
GC_00003301;broadleaf;conifer
GC_00005513;broadleaf;conifer
GC_00000593;broadleaf;conifer
GC_00002246;broadleaf;conifer
GC_00002100;broadleaf;conifer
GC_00000329;broadleaf;conifer
GC_00001098;broadleaf;conifer
GC_00002136;broadleaf;conifer
GC_00003022;broadleaf;conifer
GC_00002423;broadleaf;conifer
GC_00004701;broadleaf;conifer
GC_00000530;broadleaf;conifer
GC_00001484;broadleaf;conifer
GC_00000055;broadleaf;conifer
GC_00001767;broadleaf;conifer
GC_00000003;broadleaf;conifer
GC_00003363;conifer;broadleaf-tree
GC_00003601;conifer;broadleaf-tree
GC_00002940;conifer;broadleaf-tree
